i,e,eta,J,|k|,|u|,Esum
8293,0.000176247,0.000176247,1.07368e+09,0.000573299,0.000363826,1.07368e+09
8294,7.697e-05,7.697e-05,1.07368e+09,0.000559299,0.00036773,1.07368e+09
8295,0.000147581,0.000147581,1.07368e+09,0.000565342,0.000371405,1.07368e+09
8296,9.92971e-05,9.92971e-05,1.07368e+09,0.000539542,0.000375056,1.07368e+09
8297,9.47435e-05,9.47435e-05,1.07368e+09,0.00053482,0.000378528,1.07368e+09
8298,0.000152736,0.000152736,1.07368e+09,0.000508146,0.000381771,1.07368e+09
8299,-4.83901e-06,-4.83901e-06,1.07368e+09,0.000495116,0.000384745,1.07368e+09
8300,0.000222654,0.000222654,1.07368e+09,0.000505321,0.00038781,1.07368e+09
8301,-7.33518e-05,-7.33518e-05,1.07368e+09,0.000520274,0.000390804,1.07368e+09
8302,0.000213575,0.000213575,1.07368e+09,0.000555675,0.000393608,1.07368e+09
8303,-5.35369e-05,-5.35369e-05,1.07368e+09,0.000568947,0.000396288,1.07368e+09
8304,0.000195205,0.000195205,1.07368e+09,0.000592768,0.000398934,1.07368e+09
8305,-5.71957e-05,-5.71957e-05,1.07368e+09,0.000595423,0.000401317,1.07368e+09
8306,0.000127323,0.000127323,1.07368e+09,0.000602959,0.000403273,1.07368e+09
8307,1.80822e-05,1.80822e-05,1.07368e+09,0.000591592,0.000405163,1.07368e+09
8308,-3.98241e-06,-3.98241e-06,1.07368e+09,0.000580221,0.00040679,1.07368e+09
8309,0.000115451,0.000115451,1.07368e+09,0.000568377,0.000408329,1.07368e+09
8310,-9.33922e-05,-9.33922e-05,1.07368e+09,0.000564708,0.00040985,1.07368e+09
8311,0.000171206,0.000171206,1.07368e+09,0.000570901,0.000411412,1.07368e+09
8312,-0.000153712,-0.000153712,1.07368e+09,0.000588872,0.000412576,1.07368e+09
8313,0.000196881,0.000196881,1.07368e+09,0.000615126,0.000413363,1.07368e+09
8314,-0.000161636,-0.000161636,1.07368e+09,0.000639199,0.000414011,1.07368e+09
8315,0.00015374,0.00015374,1.07368e+09,0.000659379,0.000414605,1.07368e+09
8316,-0.000116637,-0.000116637,1.07368e+09,0.00067439,0.000415085,1.07368e+09
8317,2.11905e-05,2.11905e-05,1.07368e+09,0.000670743,0.00041521,1.07368e+09
8318,-1.98924e-05,-1.98924e-05,1.07368e+09,0.000672159,0.000415254,1.07368e+09
8319,-7.76863e-05,-7.76863e-05,1.07368e+09,0.000664165,0.000415107,1.07368e+09
8320,8.54433e-05,8.54433e-05,1.07368e+09,0.000659853,0.000414848,1.07368e+09
8321,-0.000162507,-0.000162507,1.07368e+09,0.000659585,0.000414428,1.07368e+09
8322,0.000143109,0.000143109,1.07368e+09,0.000668169,0.000413794,1.07368e+09
8323,-0.000221109,-0.000221109,1.07368e+09,0.00069033,0.000412773,1.07368e+09
8324,0.000100234,0.000100234,1.07368e+09,0.000703679,0.000411344,1.07368e+09
8325,-0.000173185,-0.000173185,1.07368e+09,0.000723865,0.000409923,1.07368e+09
8326,1.37211e-05,1.37211e-05,1.07368e+09,0.000721847,0.000408471,1.07368e+09
8327,-7.95607e-05,-7.95607e-05,1.07368e+09,0.000723078,0.000406984,1.07368e+09
8328,-7.4921e-05,-7.4921e-05,1.07368e+09,0.000709653,0.000405219,1.07368e+09
8329,2.81378e-05,2.81378e-05,1.07368e+09,0.000704674,0.000403092,1.07368e+09
8330,-0.00014546,-0.00014546,1.07368e+09,0.000701987,0.000400708,1.07368e+09
8331,5.30869e-05,5.30869e-05,1.07368e+09,0.000710691,0.000398122,1.07368e+09
8332,-0.000177913,-0.000177913,1.07368e+09,0.000710337,0.000395546,1.07368e+09
8333,2.69109e-05,2.69109e-05,1.07368e+09,0.000707978,0.00039281,1.07368e+09
8334,-0.000121729,-0.000121729,1.07368e+09,0.000704606,0.000390235,1.07368e+09
8335,2.88418e-06,2.88418e-06,1.07368e+09,0.000702356,0.000387528,1.07368e+09
8336,-6.68427e-05,-6.68427e-05,1.07368e+09,0.000701601,0.000384278,1.07368e+09
8337,-2.60528e-06,-2.60528e-06,1.07368e+09,0.000702995,0.00038076,1.07368e+09
8338,-5.29429e-05,-5.29429e-05,1.07368e+09,0.000703247,0.000377051,1.07368e+09
8339,-7.11174e-05,-7.11174e-05,1.07368e+09,0.000700675,0.000373321,1.07368e+09
8340,-6.52032e-06,-6.52033e-06,1.07368e+09,0.000702457,0.000369512,1.07368e+09
8341,-0.000133993,-0.000133993,1.07368e+09,0.000703142,0.000365779,1.07368e+09
